,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
4798,148637,18.43,30.71,7.26,-6.84,49.82,Aditya Birla Sun Life ESG Fund-Direct Plan-Growth,14.579282196761735
4799,148640,18.5,30.84,7.34,-7.34,50.17,Aditya Birla Sun Life ESG Fund-Direct - Payout of IDCW,14.612970880983408
4800,148641,20.48,31.72,10.27,-3.57,49.43,Nippon India Passive Flexicap FoF - Regular Plan - Growth Option,13.401528245369736
4801,148642,21.43,32.5,10.82,-2.99,51.16,Nippon India Passive Flexicap FoF - Direct Plan - Growth Option,13.401291589676973
4802,148643,20.47,31.86,10.1,-3.33,50.68,NIPPON INDIA PASSIVE FLEXICAP FOF - IDCW Option,13.401507991025627
4803,148644,21.14,32.72,10.57,-3.38,51.02,Nippon India Passive Flexicap FoF - Direct Plan - Dividend Option,13.401307220154004
4804,148645,-0.91,12.64,-13.1,-27.64,36.1,Kotak International REIT FOF - Regular Plan - Growth,19.393593220465327
4805,148646,0.03,14.0,-11.99,-27.09,37.53,Kotak International REIT FOF - Direct Plan - Growth,19.396322568611875
4806,148647,-0.8,12.61,-12.98,-27.84,36.5,Kotak International REIT FOF - Regular Plan - Dividend Payout,19.39348102393552
4807,148649,0.24,14.6,-12.39,-27.22,38.68,Kotak International REIT FOF - Direct Plan - Payout of Income Distribution cum capital withdrawal option,19.39629997205795
4808,148651,26.32,37.23,16.03,2.72,54.77,ICICI Prudential Business Cycle Fund Direct Plan Growth,12.416309909047783
4809,148652,21.21,32.74,10.42,-4.51,50.34,ICICI Prudential Business Cycle Fund Direct Plan IDCW,13.726540093480805
4810,148653,24.61,35.17,14.35,1.29,52.48,ICICI Prudential Business Cycle Fund Growth,12.39461249880343
4811,148654,19.39,31.2,8.54,-5.85,49.36,ICICI Prudential Business Cycle Fund IDCW,13.817801300073253
4812,148655,5.5,6.22,4.71,3.42,7.22,TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1.0804469009701057
4813,148656,6.08,6.83,5.29,4.02,7.79,TRUSTMF BANKING & PSU DEBT FUND - DIRECT PLAN GROWTH,1.084276627185043
4814,148657,10.65,16.9,4.72,-3.36,26.15,PGIM India Balanced Advantage Fund - Regular Plan - Growth Option,8.07958706458386
4815,148658,12.68,19.14,6.55,-1.59,28.82,PGIM India Balanced Advantage Fund -  Direct Plan - Growth Option,8.084085874631757
